,,,,,
,,,,,
CB: Classification,CB: Attribute Name,CB: Attribute Type,CB: Blinding Identity,OL: Character Encoding,OL: Format
,photo,Text,Y,utf-8,
,givenName,Text,,utf-8,
,middleName,Text,,utf-8,
,familyName,Text,,utf-8,
,birthDate,Date,Y,utf-8,YYYY-MM-DD
GICS:35102020,linkedVaccineCertificate,Text,,utf-8,
GICS:35102020,recipient,DRI,,utf-8,
GICS:35102020,disease,Text,,utf-8,SNOMED CT
GICS:35102020,vaccineDescription,Text,,utf-8,SNOMED CT
GICS:35102020,vaccineType,Text,,utf-8,SNOMED CT
GICS:35102020,medicinalProductName,Text,,utf-8,
GICS:35102020,cvxCode,Text,,utf-8,
GICS:35102020,marketingAuthorizationHolder,Text,,utf-8,
GICS:35102020,doseNumber,Number,,utf-8,
GICS:35102020,dosesPerCycle,Number,,utf-8,
GICS:35102020,dateOfVaccination,Date,Y,utf-8,YYYY-MM-DD
GICS:35102020,stateOfVaccination,Text,,utf-8,
GICS:35102020,countryOfVaccination,Text,,utf-8,ISO 3166-1 alpha-2
GICS:35102020,certificateIssuer,Text,,utf-8,
GICS:35102020,certificateNumber,Text,,utf-8,
